x,y,z,time
-0.640393,-0.037170,-2.033752,72475884671228.000000
-2.330054,1.002539,-3.007617,72476085330030.000000
-1.190515,0.587292,-2.681580,72476285086332.000000
1.601514,-1.288220,2.220667,72476485314561.000000
2.482983,0.113635,4.239551,72476686006592.000000
0.216650,0.297363,0.427991,72476885865863.000000
-0.940942,-0.439673,-3.148865,72477085957217.000000
-1.092810,0.267627,-2.227039,72477286789144.000000
-0.886780,0.203906,-0.647827,72477486368519.000000
2.732556,-1.039709,2.480860,72477686666488.000000
1.080066,0.278247,2.835571,72477886916592.000000
-0.322852,-0.167798,-0.520386,72478087055342.000000
-1.132105,0.057349,-2.939648,72478287272946.000000
0.135937,0.096643,-1.510181,72478489263675.000000
-1.268042,0.022302,0.686060,72478687685758.000000
3.616150,-0.725354,2.800525,72478887910602.000000
1.039709,0.423743,2.078357,72479088100498.000000
